Запрос;Готовый ответ
к чему чешется левая ладонь;Родная моя, как в старину говаривали: левая ладонь чешется к деньгам. И знаешь, что я тебе скажу: жди прибыли и не сомневайся.
к чему чешется правая ладонь;Доченька, люди знают: правая ладонь чешется к встрече. А я тебе так скажу: скоро увидишь того, кого ждёшь.
к чему чешется нос;Милая моя, в народе говорят: нос чешется к выпивке или к новостям. И вот что я думаю: жди вестей, хороших или не очень – посмотрим.
к чему чешется левый глаз;Родная моя, как бабушки ещё наши говорили: левый глаз чешется к слезам. Но я тебе так скажу: не верь плохому, может, и к радости.
к чему чешется правый глаз;Доченька, в народе сказывают: правый глаз – к встрече с приятным человеком. Запомни мои слова: готовься к радости.
к чему чешется левое ухо;Милая моя, так в народе ведётся: левое ухо – к сплетням. И знаешь, что я тебе скажу: не обращай внимания, пусть болтают.
к чему чешется правое ухо;Родная моя, мудрые люди заметили: правое ухо – к добрым словам. И вот что я думаю: жди приятного разговора.
к чему чешется левая грудь;Доченька, говорят: левая грудь чешется к печали. Но я тебе так скажу: может, и к хорошим переменам, не горюй.
к чему чешется правая грудь;Милая моя, в старину бабки знали: правая грудь – к радости. И знаешь, что я тебе скажу: скоро тебя ждёт приятное событие.
к чему чешется стопа;Родная моя, говорят: стопа чешется к дороге. И я тебе так скажу: собирайся в путь, если зовёт сердце.
к чему чешется ступня;Доченька, в народе говорят: ступня – к долгой дороге. И вот что я думаю: не бойся перемен, они к лучшему.
к чему чешется пятка;Милая моя, так жизнь учит: пятка чешется к деньгам. И ты запомни: это к прибыли, не сомневайся.
к чему чешется локоть;Родная моя, в народе так повелось: локоть – к неожиданным расходам. Но я верю, что ты справишься.
к чему чешется палец;Доченька, люди знают: палец чешется к мелким хлопотам. И я тебе так скажу: не переживай, всё пройдёт.
к чему чешется безымянный палец;Милая моя, старшие знают: безымянный палец – к подарку или к свиданию. Знаешь, что я думаю: приятные сюрпризы уже близко.
к чему чешется указательный палец;Родная моя, в народе сказывают: указательный – к важным делам. И я тебе скажу: будь внимательна, скоро решится вопрос.
к чему чешется средний палец;Доченька, так повелось: средний палец – к деньгам. И знаешь, что я тебе скажу: жди финансового успеха.
к чему чешется мизинец;Милая моя, в старину бабки знали: мизинец – к хлопотам, но небольшим. И ты запомни: они будут приятными.
к чему чешется большой палец;Родная моя, говорят: большой палец – к удаче. И я тебе так скажу: верь в себя, и всё получится.
к чему чешется запястье;Доченька, люди знают: запястье – к подарку. И вот что я думаю: скоро тебя порадуют.
к чему чешется подмышка;Милая моя, в народе говорят: подмышка – к ссоре. Но я тебе так скажу: не допусти её, будь мудрой.
к чему чешется живот;Родная моя, так жизнь учит: живот чешется к гостям. И я верю, что они придут с добром.
к чему чешется спина;Доченька, старшие знают: спина – к печали. Но ты не переживай, скоро всё наладится.
к чему чешется голова;Милая моя, в народе сказывают: голова – к раздумьям. И я тебе скажу: прислушайся к себе, и ты найдешь ответ.
к чему чешется шея;Родная моя, говорят: шея – к дороге. И я тебе так скажу: собирайся в путь, если чувствуешь зов.
к чему чешется лицо;Доченька, в старину бабки знали: лицо – к вестям. И знаешь, что я думаю: они будут хорошими.
к чему чешется бровь;Милая моя, так повелось: бровь – к встрече. И ты запомни: скоро увидишь дорогого человека.
к чему чешется ресница;Родная моя, люди знают: ресница – к свиданию. И я тебе так скажу: готовься к романтике.
к чему чешется левая нога;Доченька, в народе говорят: левая нога – к дороге. И я тебе скажу: путь будет добрым.
к чему чешется правая нога;Милая моя, так жизнь учит: правая нога – к гостям. И знаешь, что я думаю: они будут желанными.
к чему чешется колено;Родная моя, в старину бабки знали: колено – к дальней дороге. И я верю, что она принесёт тебе радость.
к чему чешется левый глаз у женщины;Доченька, люди знают: левый глаз у женщины – к слезам или к радости. Но я тебе так скажу: верь в лучшее.
к чему чешется правый глаз у женщины;Милая моя, говорят: правый глаз – к встрече. И я тебе скажу: готовься к приятному свиданию.
к чему чешется нос у женщины;Родная моя, в народе сказывают: нос – к вестям. И я верю, что они будут добрыми.
к чему чешется правая рука;Доченька, так повелось: правая рука – к деньгам или к встрече. И знаешь, что я думаю: и то, и другое – к добру.
к чему чешется левая рука;Милая моя, в старину бабки знали: левая рука – к деньгам. И я тебе так скажу: жди прибыли.
к чему чешется у женщины приметы;Доченька, все приметы у женщин – к переменам. И я тебе скажу: они будут к лучшему.
к чему чешутся брови;Милая моя, брови чешутся к встрече. И знаешь, что я думаю: скоро увидишь того, кто тебе дорог.
к чему чешутся уши;Родная моя, уши чешутся к новостям. И я верю, что они будут приятными.
к чему чешутся ладони;Доченька, ладони чешутся к деньгам. И я тебе так скажу: будь готова к прибыли.
к чему чешутся пальцы на руках;Милая моя, пальцы на руках – к мелким радостям. И знаешь, что я скажу: скоро они тебя порадуют.
к чему чешутся глаза у женщины;Родная моя, глаза чешутся к слезам или к смеху. Но я верю, что ты выберешь радость.
к чему чешутся губы;Доченька, губы чешутся к поцелую. И я тебе так скажу: скоро тебя ждёт нежность.
к чему чешутся соски;Милая моя, соски чешутся к кормлению или к нежности. И знаешь, что я думаю: это к добру.
к чему чешутся пятки;Родная моя, пятки чешутся к деньгам. И я тебе так скажу: жди прибыли.
к чему чешутся ступни;Доченька, ступни чешутся к дороге. И я верю, что она будет лёгкой.
к чему чешется левая пятка;Милая моя, левая пятка – к деньгам. И я тебе так скажу: это к прибыли.
к чему чешется правая пятка;Родная моя, правая пятка – к гостям. И знаешь, что я думаю: они будут желанными.
к чему чешется затылок;Доченька, затылок чешется к раздумьям. И я тебе скажу: прислушайся к себе, и ты найдёшь ответ.
примета если разбилась чашка;Милая моя, разбитая чашка – к счастью. И я тебе так скажу: пусть это будет началом нового хорошего.
примета если разбилась тарелка;Родная моя, разбитая тарелка – к счастью в доме. И знаешь, что я думаю: это к добру.
примета если разбился стакан;Доченька, разбитый стакан – к переменам. И я верю, что они будут к лучшему.
примета если упал нож;Милая моя, упал нож – к ссоре. Но ты не бойся, можно поднять и сказать «мир».
примета если рассыпалась соль;Родная моя, рассыпалась соль – к ссоре. Но ты можешь пересыпать через плечо и всё пройдёт.
примета если рассыпался сахар;Доченька, рассыпался сахар – к сладкой жизни. И я тебе так скажу: жди приятных сюрпризов.
примета если потерялась вещь;Милая моя, потеря – к приобретению. И знаешь, что я думаю: скоро найдёшь что-то лучшее.
примета если нашлась вещь;Родная моя, находка – к удаче. И я верю, что она принесёт тебе радость.
примета если треснуло зеркало;Доченька, треснуло зеркало – к беде, но говорят, можно обойтись, если выбросить.
примета если разбилось зеркало;Милая моя, разбитое зеркало – к семи годам неудач, но это суеверие. Главное – верь в хорошее.
примета если упало кольцо;Родная моя, упало кольцо – к переменам в отношениях. Береги любовь.
примета если скрипнула дверь;Доченька, скрип двери – к гостям или к вестям. Жди новостей.
примета если зазвенела посуда;Милая моя, звон посуды – к ссоре, но можно сказать «к счастью».
примета если упала вилка;Родная моя, упала вилка – к гостям. Жди прихода друзей.
примета если упала ложка;Доченька, упала ложка – к гостям. Жди голодных.
примета если чай остыл;Милая моя, остыл чай – к долгому разговору. Приготовься к душевной беседе.
примета если цветок засох;Родная моя, засох цветок – к беде, но можно пересадить и будет жить.
примета если одежда порвалась;Доченька, порвалась одежда – к прибыли. Жди обновки.
примета если пересолила еду;Милая моя, пересолила – к ссоре, но можно улыбнуться и сказать «мир».
примета если наступил в лужу;Родная моя, наступила в лужу – к деньгам. Хорошая примета.
примета если споткнулся;Доченька, споткнулась – к неудаче, но можно перешагнуть и не обращать внимания.
примета если чихнул;Милая моя, чих – к правде. Если до еды – к добру.
примета если икота;Родная моя, икота – к тому, что кто-то вспоминает. Хорошо или плохо – не знаю.
примета если упал;Доченька, упасть – к неприятностям, но быстро встать – к победе.
примета если упала икона;Милая моя, упала икона – к беде в доме. Помолись.
примета если встретил чёрную кошку;Родная моя, чёрная кошка – не беда, а испытание. Всё зависит от твоего настроя.
